pack_name,category_slot,category_key,category_name,category_color,question,option_a,option_b,option_c,option_d,correct
Clasico,0,history,Historia,#f2c94c,"¿Qué tratado puso fin oficialmente a la Primera Guerra Mundial entre Alemania y los Aliados?","Tratado de Utrecht","Tratado de Tordesillas","Tratado de Versalles","Tratado de París",2
Clasico,0,history,Historia,#f2c94c,"¿Qué ciudad quedó sepultada por la erupción del Vesubio del año 79?",Pompeya,Siracusa,Cartago,Rávena,0
Clasico,0,history,Historia,#f2c94c,"¿Qué reina de Castilla patrocinó junto a Fernando de Aragón el viaje de Colón de 1492?","Isabel I","Juana I","Urraca I","Isabel II",0
Clasico,0,history,Historia,#f2c94c,"¿Qué civilización construyó Machu Picchu?",Maya,Azteca,Inca,Olmeca,2
Clasico,0,history,Historia,#f2c94c,"¿Qué imperio tuvo Constantinopla como capital hasta 1453?","Imperio carolingio","Imperio sasánida","Imperio bizantino","Imperio austrohúngaro",2
Clasico,0,history,Historia,#f2c94c,"¿Quién fue el primer emperador romano?",Nerón,Trajano,Augusto,"Julio César",2
Clasico,0,history,Historia,#f2c94c,"¿Qué acontecimiento comenzó con la toma de la Bastilla?","La Revolución francesa","La Guerra de los Cien Años","La Comuna de París","La Revolución de 1848",0
Clasico,0,history,Historia,#f2c94c,"¿Qué pueblo antiguo desarrolló la escritura cuneiforme en Mesopotamia?","Los fenicios","Los hititas","Los minoicos","Los sumerios",3
Clasico,0,history,Historia,#f2c94c,"¿Qué navegante culminó la primera vuelta al mundo tras la muerte de Magallanes?","Vasco da Gama","Bartolomé Díaz","Juan Sebastián Elcano","Álvar Núñez Cabeza de Vaca",2
Clasico,0,history,Historia,#f2c94c,"¿Qué monarca español ordenó construir el monasterio de El Escorial?","Carlos III","Felipe V","Felipe II","Alfonso X",2
Clasico,0,history,Historia,#f2c94c,"¿Qué conflicto enfrentó en Estados Unidos a la Unión y la Confederación?","La guerra de 1812","La guerra de Independencia","La guerra de Secesión","La guerra hispano-estadounidense",2
